# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,0.00,3.00,7.00,3.00,0.00,454.00,99.00,1223.00,1450.00
1.00,0.00,3.00,1.00,3.00,0.00,360.00,99.00,1073.00,1253.00
2.00,1.00,2.00,7.00,3.00,1.00,248.00,99.00,1223.00,1347.00
3.00,2.00,1.00,1.00,3.00,1.00,148.00,99.00,1073.00,1147.00
4.00,1.00,2.00,2.00,2.00,0.00,364.00,99.00,1098.00,1280.00
5.00,0.00,1.00,9.00,1.00,1.00,162.00,99.00,1273.00,1354.00
6.00,1.00,0.00,0.00,2.00,1.00,122.00,99.00,1048.00,1109.00
7.00,0.00,3.00,3.00,1.00,1.00,416.00,99.00,1123.00,1331.00
8.00,2.00,3.00,5.00,3.00,1.00,360.00,99.00,1173.00,1353.00
9.00,2.00,3.00,7.00,3.00,1.00,362.00,99.00,1223.00,1404.00
10.00,0.00,1.00,10.00,1.00,1.00,128.00,99.00,1298.00,1362.00
11.00,2.00,2.00,5.00,2.00,1.00,364.00,99.00,1173.00,1355.00
12.00,3.00,3.00,9.00,0.00,1.00,292.00,99.00,1273.00,1419.00
13.00,1.00,2.00,6.00,3.00,1.00,212.00,99.00,1198.00,1304.00
14.00,1.00,2.00,3.00,3.00,1.00,306.00,99.00,1123.00,1276.00
15.00,0.00,3.00,2.00,1.00,1.00,374.00,99.00,1098.00,1285.00
16.00,2.00,2.00,5.00,2.00,1.00,374.00,99.00,1173.00,1360.00
17.00,0.00,0.00,7.00,0.00,1.00,126.00,99.00,1223.00,1286.00
18.00,3.00,1.00,4.00,3.00,0.00,176.00,99.00,1148.00,1236.00
19.00,3.00,2.00,3.00,1.00,1.00,266.00,99.00,1123.00,1256.00
20.00,2.00,3.00,6.00,1.00,0.00,694.00,99.00,1198.00,1545.00
21.00,0.00,0.00,1.00,0.00,1.00,156.00,99.00,1073.00,1151.00
22.00,3.00,2.00,9.00,1.00,1.00,346.00,99.00,1273.00,1446.00
23.00,3.00,0.00,2.00,0.00,1.00,174.00,99.00,1098.00,1185.00
24.00,0.00,2.00,0.00,0.00,1.00,284.00,99.00,1048.00,1190.00
25.00,3.00,1.00,7.00,1.00,1.00,192.00,99.00,1223.00,1319.00
26.00,2.00,1.00,3.00,3.00,1.00,138.00,99.00,1123.00,1192.00
27.00,3.00,3.00,6.00,0.00,1.00,390.00,99.00,1198.00,1393.00
28.00,1.00,3.00,2.00,2.00,1.00,390.00,99.00,1098.00,1293.00
29.00,3.00,2.00,3.00,1.00,1.00,554.00,99.00,1123.00,1400.00
30.00,2.00,0.00,8.00,0.00,0.00,168.00,99.00,1248.00,1332.00
31.00,1.00,1.00,2.00,3.00,1.00,124.00,99.00,1098.00,1160.00
32.00,0.00,3.00,6.00,1.00,1.00,202.00,99.00,1198.00,1299.00
33.00,1.00,1.00,8.00,1.00,0.00,152.00,99.00,1248.00,1324.00
34.00,0.00,1.00,4.00,1.00,1.00,152.00,99.00,1148.00,1224.00
35.00,2.00,2.00,2.00,3.00,0.00,354.00,99.00,1098.00,1275.00
36.00,0.00,1.00,4.00,1.00,1.00,190.00,99.00,1148.00,1243.00
