# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,0.00,0.00,8.00,2.00,0.00,144.00,99.00,1248.00,1320.00
1.00,0.00,2.00,6.00,0.00,1.00,338.00,99.00,1198.00,1367.00
2.00,1.00,1.00,9.00,3.00,1.00,124.00,99.00,1273.00,1335.00
3.00,2.00,0.00,10.00,2.00,1.00,150.00,99.00,1298.00,1373.00
4.00,2.00,0.00,0.00,2.00,1.00,116.00,99.00,1048.00,1106.00
5.00,2.00,1.00,9.00,3.00,1.00,122.00,99.00,1273.00,1334.00
6.00,2.00,1.00,1.00,3.00,1.00,110.00,99.00,1073.00,1128.00
7.00,2.00,1.00,2.00,3.00,1.00,164.00,99.00,1098.00,1180.00
8.00,1.00,3.00,2.00,3.00,0.00,254.00,99.00,1098.00,1225.00
9.00,1.00,2.00,10.00,3.00,1.00,356.00,99.00,1298.00,1476.00
10.00,3.00,0.00,2.00,0.00,1.00,134.00,99.00,1098.00,1165.00
11.00,3.00,0.00,5.00,0.00,1.00,188.00,99.00,1173.00,1267.00
12.00,3.00,0.00,9.00,2.00,0.00,190.00,99.00,1273.00,1368.00
13.00,0.00,2.00,3.00,0.00,1.00,310.00,99.00,1123.00,1278.00
14.00,2.00,0.00,6.00,0.00,0.00,110.00,99.00,1198.00,1253.00
15.00,2.00,3.00,5.00,3.00,1.00,398.00,99.00,1173.00,1372.00
16.00,2.00,3.00,10.00,1.00,0.00,260.00,99.00,1298.00,1428.00
17.00,1.00,0.00,8.00,2.00,1.00,158.00,99.00,1248.00,1327.00
18.00,0.00,2.00,9.00,0.00,1.00,202.00,99.00,1273.00,1374.00
19.00,1.00,3.00,10.00,3.00,0.00,232.00,99.00,1298.00,1414.00
20.00,2.00,1.00,7.00,1.00,0.00,144.00,99.00,1223.00,1295.00
21.00,2.00,3.00,0.00,3.00,1.00,404.00,99.00,1048.00,1250.00
22.00,2.00,1.00,1.00,1.00,0.00,144.00,99.00,1073.00,1145.00
23.00,1.00,0.00,1.00,2.00,1.00,208.00,99.00,1073.00,1177.00
24.00,1.00,2.00,5.00,3.00,1.00,312.00,99.00,1173.00,1329.00
25.00,0.00,3.00,8.00,1.00,1.00,234.00,99.00,1248.00,1365.00
26.00,1.00,1.00,10.00,3.00,1.00,130.00,99.00,1298.00,1363.00
27.00,3.00,0.00,2.00,2.00,0.00,180.00,99.00,1098.00,1188.00
28.00,2.00,0.00,4.00,0.00,0.00,172.00,99.00,1148.00,1234.00
29.00,2.00,3.00,7.00,3.00,1.00,270.00,99.00,1223.00,1358.00
30.00,1.00,2.00,0.00,1.00,0.00,354.00,99.00,1048.00,1225.00
31.00,0.00,1.00,10.00,3.00,0.00,180.00,99.00,1298.00,1388.00
32.00,2.00,2.00,3.00,2.00,1.00,338.00,99.00,1123.00,1292.00
33.00,1.00,3.00,3.00,2.00,1.00,292.00,99.00,1123.00,1269.00
34.00,1.00,3.00,6.00,1.00,0.00,288.00,99.00,1198.00,1342.00
35.00,3.00,0.00,0.00,0.00,1.00,110.00,99.00,1048.00,1103.00
36.00,0.00,1.00,6.00,1.00,1.00,134.00,99.00,1198.00,1265.00
37.00,0.00,2.00,3.00,0.00,1.00,294.00,99.00,1123.00,1270.00
38.00,1.00,3.00,1.00,2.00,1.00,172.00,99.00,1073.00,1159.00
39.00,0.00,1.00,10.00,1.00,1.00,150.00,99.00,1298.00,1373.00
40.00,0.00,2.00,1.00,0.00,1.00,178.00,99.00,1073.00,1162.00
41.00,0.00,0.00,6.00,2.00,0.00,138.00,99.00,1198.00,1267.00
42.00,2.00,3.00,1.00,3.00,1.00,340.00,99.00,1073.00,1243.00
43.00,1.00,2.00,8.00,3.00,1.00,298.00,99.00,1248.00,1397.00
44.00,3.00,2.00,10.00,1.00,1.00,264.00,99.00,1298.00,1430.00
45.00,3.00,1.00,8.00,1.00,1.00,124.00,99.00,1248.00,1310.00
46.00,3.00,2.00,9.00,1.00,1.00,232.00,99.00,1273.00,1389.00
47.00,3.00,2.00,7.00,1.00,1.00,354.00,99.00,1223.00,1400.00
48.00,3.00,1.00,2.00,1.00,1.00,128.00,99.00,1098.00,1162.00
49.00,1.00,2.00,0.00,3.00,1.00,252.00,99.00,1048.00,1174.00
50.00,0.00,1.00,3.00,3.00,0.00,142.00,99.00,1123.00,1194.00
51.00,1.00,2.00,6.00,3.00,1.00,214.00,99.00,1198.00,1305.00
52.00,2.00,2.00,1.00,2.00,1.00,168.00,99.00,1073.00,1157.00
53.00,2.00,0.00,1.00,0.00,0.00,132.00,99.00,1073.00,1139.00
54.00,0.00,1.00,1.00,1.00,1.00,194.00,99.00,1073.00,1170.00
55.00,3.00,1.00,3.00,1.00,1.00,142.00,99.00,1123.00,1194.00
56.00,1.00,0.00,4.00,2.00,1.00,124.00,99.00,1148.00,1210.00
57.00,0.00,2.00,3.00,1.00,0.00,216.00,99.00,1123.00,1231.00
58.00,3.00,1.00,2.00,1.00,1.00,176.00,99.00,1098.00,1186.00
