mfc,gd,thres,mfc_result
3,1,5,2.86151553
5,4,4,4.67691967
7,4,4,7.26739663
8,2,4,8.14747636
3,1,5,2.86151553
5,4,4,4.67691967
6,2,3,5.56036924
7,4,4,7.26739663
8,2,4,8.14747636
8,4,4,7.57388992
4,4,2,2.98458359
