mfc,thres,gd,mfc_result,thres_result,mfc_results2,thres_results2
5,4,4,3.39154986395795,3.84500460989481,3.39154986395795,3.84500460989481
8,4,2,8.06163602223111,4.05265883120665,8.06163602223111,4.05265883120665
7,3,2,6.27945416823995,2.91082635604571,6.27945416823995,2.91082635604571
6,5,3,5.77289675060797,4.95814092690411,5.77289675060797,4.95814092690411
4,3,1,8.76806066174015,2.94200229308517,4.28844255657884,2.87680635044577
