# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,2.00,0.00,1.00,0.00,0.00,286.00,99.00,1073.00,1216.00
1.00,3.00,1.00,5.00,1.00,1.00,246.00,99.00,1173.00,1296.00
2.00,3.00,2.00,5.00,1.00,1.00,386.00,99.00,1173.00,1366.00
3.00,1.00,0.00,4.00,2.00,1.00,236.00,99.00,1148.00,1266.00
4.00,0.00,3.00,6.00,1.00,1.00,478.00,99.00,1198.00,1437.00
5.00,3.00,0.00,3.00,0.00,1.00,238.00,99.00,1123.00,1242.00
6.00,3.00,2.00,5.00,0.00,0.00,422.00,99.00,1173.00,1384.00
7.00,2.00,1.00,6.00,3.00,1.00,196.00,99.00,1198.00,1296.00
8.00,0.00,2.00,6.00,0.00,1.00,570.00,99.00,1198.00,1483.00
9.00,1.00,1.00,8.00,3.00,1.00,216.00,99.00,1248.00,1356.00
10.00,2.00,0.00,5.00,2.00,1.00,194.00,99.00,1173.00,1270.00
11.00,3.00,3.00,3.00,0.00,1.00,502.00,99.00,1123.00,1374.00
12.00,1.00,0.00,5.00,2.00,1.00,166.00,99.00,1173.00,1256.00
13.00,0.00,3.00,8.00,1.00,1.00,322.00,99.00,1248.00,1409.00
14.00,3.00,1.00,2.00,3.00,0.00,250.00,99.00,1098.00,1223.00
15.00,1.00,0.00,8.00,2.00,1.00,262.00,99.00,1248.00,1379.00
16.00,0.00,3.00,3.00,1.00,1.00,372.00,99.00,1123.00,1309.00
17.00,1.00,3.00,8.00,2.00,1.00,348.00,99.00,1248.00,1422.00
18.00,1.00,3.00,5.00,2.00,1.00,358.00,99.00,1173.00,1352.00
19.00,2.00,3.00,1.00,3.00,1.00,362.00,99.00,1073.00,1254.00
20.00,1.00,2.00,8.00,3.00,1.00,466.00,99.00,1248.00,1481.00
21.00,1.00,0.00,10.00,0.00,0.00,262.00,99.00,1298.00,1429.00
22.00,3.00,3.00,4.00,0.00,1.00,350.00,99.00,1148.00,1323.00
23.00,1.00,2.00,8.00,0.00,0.00,390.00,99.00,1248.00,1443.00
24.00,2.00,1.00,9.00,3.00,1.00,170.00,99.00,1273.00,1358.00
25.00,0.00,3.00,7.00,1.00,1.00,374.00,99.00,1223.00,1410.00
26.00,3.00,0.00,10.00,2.00,0.00,244.00,99.00,1298.00,1420.00
27.00,1.00,1.00,3.00,3.00,1.00,210.00,99.00,1123.00,1228.00
28.00,0.00,2.00,0.00,0.00,1.00,316.00,99.00,1048.00,1206.00
29.00,1.00,2.00,6.00,3.00,1.00,424.00,99.00,1198.00,1410.00
30.00,1.00,3.00,4.00,2.00,1.00,450.00,99.00,1148.00,1373.00
31.00,0.00,2.00,7.00,0.00,1.00,560.00,99.00,1223.00,1503.00
