# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,2.00,2.00,2.00,2.00,1.00,310.00,99.00,1098.00,1253.00
1.00,1.00,1.00,4.00,3.00,1.00,112.00,99.00,1148.00,1204.00
2.00,2.00,1.00,7.00,3.00,1.00,102.00,99.00,1223.00,1274.00
3.00,1.00,0.00,2.00,2.00,1.00,140.00,99.00,1098.00,1168.00
4.00,1.00,3.00,7.00,3.00,0.00,188.00,99.00,1223.00,1317.00
5.00,2.00,2.00,8.00,0.00,0.00,294.00,99.00,1248.00,1395.00
6.00,1.00,3.00,0.00,2.00,1.00,178.00,99.00,1048.00,1137.00
7.00,0.00,1.00,5.00,1.00,1.00,114.00,99.00,1173.00,1230.00
8.00,2.00,2.00,1.00,2.00,1.00,310.00,99.00,1073.00,1228.00
9.00,2.00,0.00,3.00,2.00,1.00,106.00,99.00,1123.00,1176.00
10.00,0.00,0.00,9.00,0.00,1.00,122.00,99.00,1273.00,1334.00
11.00,2.00,3.00,1.00,3.00,1.00,172.00,99.00,1073.00,1159.00
12.00,1.00,2.00,6.00,3.00,1.00,144.00,99.00,1198.00,1270.00
13.00,1.00,2.00,6.00,3.00,1.00,200.00,99.00,1198.00,1298.00
14.00,1.00,1.00,9.00,1.00,0.00,118.00,99.00,1273.00,1332.00
15.00,3.00,2.00,10.00,1.00,1.00,222.00,99.00,1298.00,1409.00
16.00,2.00,2.00,3.00,0.00,0.00,296.00,99.00,1123.00,1271.00
17.00,1.00,3.00,10.00,2.00,1.00,224.00,99.00,1298.00,1410.00
18.00,0.00,0.00,5.00,0.00,1.00,126.00,99.00,1173.00,1236.00
19.00,2.00,1.00,7.00,3.00,1.00,124.00,99.00,1223.00,1285.00
20.00,0.00,1.00,4.00,1.00,1.00,112.00,99.00,1148.00,1204.00
21.00,2.00,1.00,9.00,1.00,0.00,128.00,99.00,1273.00,1337.00
22.00,2.00,2.00,2.00,3.00,0.00,226.00,99.00,1098.00,1211.00
23.00,1.00,2.00,4.00,3.00,1.00,214.00,99.00,1148.00,1255.00
24.00,3.00,1.00,1.00,1.00,1.00,138.00,99.00,1073.00,1142.00
25.00,1.00,2.00,2.00,3.00,1.00,196.00,99.00,1098.00,1196.00
26.00,2.00,3.00,10.00,3.00,1.00,206.00,99.00,1298.00,1401.00
27.00,1.00,0.00,9.00,2.00,1.00,140.00,99.00,1273.00,1343.00
28.00,2.00,0.00,7.00,0.00,0.00,124.00,99.00,1223.00,1285.00
29.00,2.00,1.00,6.00,3.00,1.00,132.00,99.00,1198.00,1264.00
30.00,1.00,3.00,10.00,1.00,0.00,346.00,99.00,1298.00,1471.00
31.00,2.00,1.00,9.00,3.00,1.00,110.00,99.00,1273.00,1328.00
32.00,3.00,3.00,6.00,0.00,1.00,218.00,99.00,1198.00,1307.00
33.00,3.00,2.00,6.00,1.00,1.00,234.00,99.00,1198.00,1315.00
34.00,0.00,1.00,8.00,1.00,1.00,150.00,99.00,1248.00,1323.00
35.00,0.00,2.00,3.00,0.00,1.00,218.00,99.00,1123.00,1232.00
36.00,1.00,1.00,0.00,3.00,1.00,142.00,99.00,1048.00,1119.00
37.00,0.00,3.00,2.00,1.00,1.00,226.00,99.00,1098.00,1211.00
38.00,2.00,2.00,7.00,2.00,1.00,236.00,99.00,1223.00,1341.00
39.00,1.00,0.00,3.00,2.00,1.00,146.00,99.00,1123.00,1196.00
40.00,1.00,3.00,8.00,2.00,1.00,248.00,99.00,1248.00,1372.00
41.00,3.00,2.00,5.00,1.00,1.00,178.00,99.00,1173.00,1262.00
42.00,0.00,2.00,6.00,0.00,1.00,196.00,99.00,1198.00,1296.00
43.00,1.00,0.00,10.00,2.00,1.00,110.00,99.00,1298.00,1353.00
44.00,1.00,3.00,7.00,2.00,1.00,212.00,99.00,1223.00,1329.00
45.00,1.00,2.00,10.00,3.00,1.00,244.00,99.00,1298.00,1420.00
46.00,1.00,2.00,4.00,0.00,0.00,282.00,99.00,1148.00,1289.00
47.00,1.00,1.00,1.00,3.00,1.00,140.00,99.00,1073.00,1143.00
48.00,1.00,2.00,6.00,0.00,0.00,254.00,99.00,1198.00,1325.00
49.00,2.00,0.00,6.00,2.00,1.00,138.00,99.00,1198.00,1267.00
50.00,1.00,2.00,1.00,3.00,1.00,224.00,99.00,1073.00,1185.00
51.00,1.00,2.00,6.00,3.00,1.00,262.00,99.00,1198.00,1329.00
52.00,3.00,2.00,7.00,2.00,0.00,240.00,99.00,1223.00,1343.00
53.00,1.00,0.00,3.00,0.00,0.00,134.00,99.00,1123.00,1190.00
54.00,1.00,1.00,5.00,3.00,1.00,88.00,99.00,1173.00,1217.00
55.00,2.00,3.00,0.00,3.00,1.00,180.00,99.00,1048.00,1138.00
56.00,1.00,2.00,7.00,2.00,0.00,266.00,99.00,1223.00,1356.00
57.00,1.00,3.00,6.00,2.00,1.00,198.00,99.00,1198.00,1297.00
58.00,3.00,2.00,4.00,2.00,0.00,306.00,99.00,1148.00,1301.00
59.00,3.00,3.00,7.00,0.00,1.00,246.00,99.00,1223.00,1346.00
60.00,0.00,3.00,7.00,3.00,0.00,260.00,99.00,1223.00,1353.00
61.00,3.00,0.00,10.00,0.00,1.00,120.00,99.00,1298.00,1358.00
62.00,2.00,1.00,2.00,1.00,0.00,148.00,99.00,1098.00,1172.00
63.00,2.00,2.00,4.00,2.00,1.00,210.00,99.00,1148.00,1253.00
64.00,3.00,1.00,1.00,3.00,0.00,136.00,99.00,1073.00,1141.00
65.00,0.00,3.00,6.00,1.00,1.00,186.00,99.00,1198.00,1291.00
66.00,0.00,3.00,0.00,1.00,1.00,194.00,99.00,1048.00,1145.00
67.00,2.00,1.00,6.00,3.00,1.00,96.00,99.00,1198.00,1246.00
68.00,1.00,2.00,10.00,3.00,1.00,284.00,99.00,1298.00,1440.00
69.00,2.00,3.00,10.00,3.00,1.00,200.00,99.00,1298.00,1398.00
70.00,0.00,0.00,8.00,0.00,1.00,110.00,99.00,1248.00,1303.00
71.00,0.00,0.00,10.00,0.00,1.00,124.00,99.00,1298.00,1360.00
72.00,0.00,1.00,3.00,1.00,1.00,120.00,99.00,1123.00,1183.00
73.00,1.00,1.00,1.00,3.00,1.00,112.00,99.00,1073.00,1129.00
74.00,1.00,0.00,9.00,2.00,1.00,120.00,99.00,1273.00,1333.00
75.00,1.00,3.00,0.00,2.00,1.00,224.00,99.00,1048.00,1160.00
76.00,1.00,3.00,1.00,2.00,1.00,164.00,99.00,1073.00,1155.00
77.00,2.00,0.00,9.00,2.00,1.00,134.00,99.00,1273.00,1340.00
78.00,0.00,1.00,3.00,3.00,0.00,158.00,99.00,1123.00,1202.00
79.00,2.00,0.00,0.00,2.00,1.00,136.00,99.00,1048.00,1116.00
80.00,0.00,0.00,1.00,2.00,0.00,136.00,99.00,1073.00,1141.00
81.00,0.00,1.00,6.00,1.00,1.00,94.00,99.00,1198.00,1245.00
82.00,1.00,2.00,9.00,3.00,1.00,214.00,99.00,1273.00,1380.00
83.00,0.00,1.00,8.00,1.00,1.00,148.00,99.00,1248.00,1322.00
84.00,0.00,3.00,3.00,1.00,1.00,178.00,99.00,1123.00,1212.00
85.00,0.00,2.00,2.00,0.00,1.00,200.00,99.00,1098.00,1198.00
86.00,3.00,0.00,0.00,0.00,1.00,98.00,99.00,1048.00,1097.00
87.00,2.00,0.00,7.00,0.00,0.00,120.00,99.00,1223.00,1283.00
88.00,1.00,0.00,5.00,2.00,1.00,94.00,99.00,1173.00,1220.00
89.00,3.00,1.00,0.00,1.00,1.00,132.00,99.00,1048.00,1114.00
90.00,2.00,0.00,3.00,2.00,1.00,102.00,99.00,1123.00,1174.00
91.00,2.00,1.00,9.00,1.00,0.00,132.00,99.00,1273.00,1339.00
92.00,1.00,1.00,7.00,3.00,1.00,100.00,99.00,1223.00,1273.00
93.00,3.00,2.00,5.00,1.00,1.00,200.00,99.00,1173.00,1273.00
94.00,0.00,2.00,10.00,3.00,0.00,200.00,99.00,1298.00,1398.00
95.00,3.00,0.00,7.00,2.00,0.00,144.00,99.00,1223.00,1295.00
96.00,2.00,3.00,3.00,3.00,1.00,200.00,99.00,1123.00,1223.00
97.00,3.00,3.00,5.00,2.00,0.00,304.00,99.00,1173.00,1325.00
98.00,1.00,1.00,3.00,1.00,0.00,162.00,99.00,1123.00,1204.00
99.00,3.00,1.00,9.00,1.00,1.00,118.00,99.00,1273.00,1332.00
100.00,2.00,1.00,1.00,3.00,1.00,98.00,99.00,1073.00,1122.00
101.00,0.00,3.00,7.00,1.00,1.00,180.00,99.00,1223.00,1313.00
102.00,1.00,0.00,4.00,0.00,0.00,170.00,99.00,1148.00,1233.00
103.00,0.00,1.00,1.00,1.00,1.00,128.00,99.00,1073.00,1137.00
104.00,1.00,3.00,10.00,1.00,0.00,338.00,99.00,1298.00,1467.00
105.00,3.00,0.00,8.00,0.00,1.00,132.00,99.00,1248.00,1314.00
106.00,1.00,0.00,2.00,2.00,1.00,106.00,99.00,1098.00,1151.00
107.00,1.00,1.00,10.00,3.00,1.00,124.00,99.00,1298.00,1360.00
108.00,2.00,1.00,2.00,3.00,1.00,118.00,99.00,1098.00,1157.00
109.00,1.00,2.00,7.00,2.00,0.00,164.00,99.00,1223.00,1305.00
110.00,3.00,3.00,0.00,3.00,0.00,196.00,99.00,1048.00,1146.00
111.00,1.00,1.00,10.00,3.00,1.00,98.00,99.00,1298.00,1347.00
112.00,1.00,2.00,8.00,3.00,1.00,312.00,99.00,1248.00,1404.00
113.00,0.00,0.00,1.00,0.00,1.00,122.00,99.00,1073.00,1134.00
114.00,3.00,0.00,2.00,0.00,1.00,174.00,99.00,1098.00,1185.00
115.00,1.00,0.00,7.00,2.00,1.00,106.00,99.00,1223.00,1276.00
116.00,1.00,1.00,2.00,3.00,1.00,118.00,99.00,1098.00,1157.00
117.00,3.00,3.00,5.00,0.00,1.00,178.00,99.00,1173.00,1262.00
118.00,1.00,2.00,4.00,3.00,1.00,206.00,99.00,1148.00,1251.00
119.00,3.00,3.00,9.00,0.00,1.00,222.00,99.00,1273.00,1384.00
120.00,0.00,2.00,8.00,0.00,1.00,184.00,99.00,1248.00,1340.00
121.00,1.00,3.00,5.00,1.00,0.00,230.00,99.00,1173.00,1288.00
122.00,0.00,1.00,5.00,1.00,1.00,134.00,99.00,1173.00,1240.00
123.00,0.00,2.00,7.00,0.00,1.00,202.00,99.00,1223.00,1324.00
124.00,0.00,1.00,3.00,1.00,1.00,114.00,99.00,1123.00,1180.00
125.00,2.00,3.00,3.00,3.00,1.00,264.00,99.00,1123.00,1255.00
126.00,3.00,0.00,9.00,0.00,1.00,162.00,99.00,1273.00,1354.00
127.00,0.00,0.00,2.00,0.00,1.00,128.00,99.00,1098.00,1162.00
128.00,2.00,3.00,5.00,3.00,1.00,200.00,99.00,1173.00,1273.00
129.00,2.00,3.00,7.00,3.00,1.00,180.00,99.00,1223.00,1313.00
130.00,0.00,2.00,7.00,3.00,0.00,226.00,99.00,1223.00,1336.00
131.00,1.00,2.00,2.00,3.00,1.00,200.00,99.00,1098.00,1198.00
132.00,1.00,2.00,2.00,3.00,1.00,316.00,99.00,1098.00,1256.00
133.00,0.00,3.00,10.00,0.00,0.00,260.00,99.00,1298.00,1428.00
