# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,0.00,1.00,9.00,1.00,1.00,144.00,99.00,1273.00,1345.00
1.00,3.00,3.00,6.00,0.00,1.00,246.00,99.00,1198.00,1321.00
2.00,0.00,2.00,6.00,0.00,1.00,206.00,99.00,1198.00,1301.00
3.00,2.00,3.00,1.00,3.00,1.00,236.00,99.00,1073.00,1191.00
4.00,0.00,1.00,4.00,1.00,1.00,162.00,99.00,1148.00,1229.00
5.00,2.00,0.00,3.00,2.00,1.00,166.00,99.00,1123.00,1206.00
6.00,0.00,0.00,8.00,0.00,1.00,108.00,99.00,1248.00,1302.00
7.00,3.00,2.00,9.00,1.00,1.00,366.00,99.00,1273.00,1456.00
8.00,0.00,0.00,9.00,2.00,0.00,140.00,99.00,1273.00,1343.00
9.00,3.00,2.00,3.00,3.00,0.00,322.00,99.00,1123.00,1284.00
10.00,0.00,1.00,1.00,1.00,1.00,150.00,99.00,1073.00,1148.00
11.00,0.00,1.00,4.00,1.00,1.00,116.00,99.00,1148.00,1206.00
12.00,1.00,3.00,1.00,2.00,1.00,166.00,99.00,1073.00,1156.00
13.00,2.00,0.00,1.00,0.00,0.00,148.00,99.00,1073.00,1147.00
14.00,2.00,3.00,6.00,3.00,1.00,250.00,99.00,1198.00,1323.00
15.00,3.00,2.00,5.00,1.00,1.00,252.00,99.00,1173.00,1299.00
16.00,1.00,2.00,10.00,3.00,1.00,242.00,99.00,1298.00,1419.00
17.00,3.00,3.00,7.00,0.00,1.00,218.00,99.00,1223.00,1332.00
18.00,0.00,2.00,5.00,0.00,1.00,288.00,99.00,1173.00,1317.00
19.00,1.00,2.00,3.00,3.00,1.00,254.00,99.00,1123.00,1250.00
20.00,0.00,3.00,3.00,1.00,1.00,202.00,99.00,1123.00,1224.00
21.00,2.00,0.00,0.00,2.00,1.00,118.00,99.00,1048.00,1107.00
22.00,3.00,1.00,7.00,1.00,1.00,108.00,99.00,1223.00,1277.00
23.00,0.00,1.00,0.00,1.00,1.00,134.00,99.00,1048.00,1115.00
24.00,1.00,3.00,8.00,2.00,1.00,226.00,99.00,1248.00,1361.00
25.00,3.00,2.00,5.00,1.00,1.00,240.00,99.00,1173.00,1293.00
26.00,0.00,3.00,7.00,1.00,1.00,284.00,99.00,1223.00,1365.00
27.00,2.00,2.00,5.00,2.00,1.00,216.00,99.00,1173.00,1281.00
28.00,0.00,2.00,2.00,3.00,0.00,258.00,99.00,1098.00,1227.00
29.00,2.00,0.00,0.00,0.00,0.00,136.00,99.00,1048.00,1116.00
30.00,3.00,3.00,1.00,0.00,1.00,236.00,99.00,1073.00,1191.00
31.00,0.00,3.00,7.00,1.00,1.00,186.00,99.00,1223.00,1316.00
32.00,1.00,2.00,5.00,3.00,1.00,224.00,99.00,1173.00,1285.00
33.00,1.00,2.00,3.00,3.00,1.00,202.00,99.00,1123.00,1224.00
34.00,2.00,0.00,3.00,0.00,0.00,160.00,99.00,1123.00,1203.00
35.00,2.00,1.00,7.00,3.00,1.00,128.00,99.00,1223.00,1287.00
36.00,3.00,2.00,8.00,3.00,0.00,240.00,99.00,1248.00,1368.00
37.00,3.00,1.00,8.00,1.00,1.00,82.00,99.00,1248.00,1289.00
38.00,3.00,0.00,9.00,0.00,1.00,122.00,99.00,1273.00,1334.00
39.00,3.00,1.00,0.00,1.00,1.00,136.00,99.00,1048.00,1116.00
40.00,1.00,0.00,6.00,2.00,1.00,132.00,99.00,1198.00,1264.00
41.00,2.00,1.00,9.00,3.00,1.00,94.00,99.00,1273.00,1320.00
42.00,1.00,2.00,8.00,3.00,1.00,234.00,99.00,1248.00,1365.00
43.00,3.00,2.00,10.00,1.00,1.00,204.00,99.00,1298.00,1400.00
44.00,1.00,2.00,0.00,3.00,1.00,260.00,99.00,1048.00,1178.00
45.00,1.00,1.00,1.00,1.00,0.00,124.00,99.00,1073.00,1135.00
46.00,0.00,0.00,6.00,0.00,1.00,116.00,99.00,1198.00,1256.00
47.00,3.00,0.00,4.00,0.00,1.00,102.00,99.00,1148.00,1199.00
48.00,1.00,0.00,4.00,2.00,1.00,130.00,99.00,1148.00,1213.00
49.00,2.00,2.00,8.00,2.00,1.00,212.00,99.00,1248.00,1354.00
50.00,2.00,0.00,8.00,0.00,0.00,124.00,99.00,1248.00,1310.00
51.00,0.00,2.00,9.00,0.00,1.00,222.00,99.00,1273.00,1384.00
52.00,0.00,0.00,5.00,0.00,1.00,128.00,99.00,1173.00,1237.00
53.00,2.00,0.00,2.00,0.00,0.00,156.00,99.00,1098.00,1176.00
54.00,1.00,1.00,10.00,3.00,1.00,116.00,99.00,1298.00,1356.00
55.00,1.00,1.00,6.00,3.00,1.00,158.00,99.00,1198.00,1277.00
56.00,3.00,2.00,8.00,1.00,1.00,214.00,99.00,1248.00,1355.00
57.00,2.00,1.00,6.00,3.00,1.00,112.00,99.00,1198.00,1254.00
58.00,1.00,0.00,8.00,2.00,1.00,116.00,99.00,1248.00,1306.00
59.00,3.00,3.00,3.00,0.00,1.00,240.00,99.00,1123.00,1243.00
60.00,0.00,0.00,9.00,0.00,1.00,136.00,99.00,1273.00,1341.00
61.00,3.00,0.00,5.00,0.00,1.00,102.00,99.00,1173.00,1224.00
62.00,2.00,2.00,2.00,2.00,1.00,210.00,99.00,1098.00,1203.00
63.00,3.00,2.00,0.00,1.00,1.00,262.00,99.00,1048.00,1179.00
64.00,3.00,2.00,6.00,1.00,1.00,150.00,99.00,1198.00,1273.00
65.00,2.00,1.00,7.00,3.00,1.00,150.00,99.00,1223.00,1298.00
66.00,1.00,2.00,7.00,3.00,1.00,296.00,99.00,1223.00,1371.00
67.00,3.00,2.00,1.00,1.00,1.00,172.00,99.00,1073.00,1159.00
68.00,2.00,2.00,0.00,2.00,1.00,244.00,99.00,1048.00,1170.00
69.00,2.00,1.00,7.00,1.00,0.00,124.00,99.00,1223.00,1285.00
70.00,1.00,2.00,1.00,3.00,1.00,278.00,99.00,1073.00,1212.00
71.00,3.00,0.00,6.00,0.00,1.00,144.00,99.00,1198.00,1270.00
72.00,2.00,2.00,5.00,2.00,1.00,290.00,99.00,1173.00,1318.00
73.00,0.00,1.00,6.00,1.00,1.00,118.00,99.00,1198.00,1257.00
74.00,0.00,2.00,10.00,1.00,0.00,220.00,99.00,1298.00,1408.00
75.00,3.00,0.00,7.00,0.00,1.00,112.00,99.00,1223.00,1279.00
76.00,2.00,3.00,10.00,3.00,1.00,176.00,99.00,1298.00,1386.00
77.00,3.00,2.00,4.00,1.00,1.00,166.00,99.00,1148.00,1231.00
78.00,0.00,3.00,10.00,0.00,0.00,164.00,99.00,1298.00,1380.00
79.00,2.00,3.00,1.00,3.00,1.00,234.00,99.00,1073.00,1190.00
80.00,0.00,3.00,7.00,1.00,1.00,272.00,99.00,1223.00,1359.00
81.00,2.00,3.00,0.00,3.00,1.00,308.00,99.00,1048.00,1202.00
82.00,2.00,0.00,4.00,0.00,0.00,156.00,99.00,1148.00,1226.00
83.00,1.00,2.00,0.00,0.00,0.00,266.00,99.00,1048.00,1181.00
84.00,2.00,3.00,8.00,3.00,1.00,154.00,99.00,1248.00,1325.00
85.00,1.00,1.00,1.00,3.00,1.00,168.00,99.00,1073.00,1157.00
86.00,2.00,0.00,10.00,2.00,1.00,120.00,99.00,1298.00,1358.00
87.00,1.00,1.00,9.00,3.00,1.00,116.00,99.00,1273.00,1331.00
88.00,1.00,1.00,6.00,3.00,1.00,112.00,99.00,1198.00,1254.00
89.00,1.00,3.00,9.00,2.00,1.00,226.00,99.00,1273.00,1386.00
90.00,1.00,0.00,9.00,0.00,0.00,164.00,99.00,1273.00,1355.00
91.00,1.00,3.00,2.00,2.00,1.00,346.00,99.00,1098.00,1271.00
92.00,0.00,3.00,0.00,1.00,1.00,248.00,99.00,1048.00,1172.00
93.00,1.00,0.00,2.00,0.00,0.00,156.00,99.00,1098.00,1176.00
94.00,2.00,3.00,0.00,3.00,1.00,182.00,99.00,1048.00,1139.00
95.00,3.00,0.00,0.00,2.00,0.00,142.00,99.00,1048.00,1119.00
96.00,0.00,0.00,3.00,2.00,0.00,144.00,99.00,1123.00,1195.00
97.00,2.00,3.00,9.00,3.00,1.00,262.00,99.00,1273.00,1404.00
98.00,1.00,2.00,0.00,3.00,1.00,258.00,99.00,1048.00,1177.00
99.00,2.00,1.00,3.00,1.00,0.00,156.00,99.00,1123.00,1201.00
100.00,3.00,1.00,5.00,1.00,1.00,120.00,99.00,1173.00,1233.00
101.00,1.00,2.00,9.00,3.00,1.00,262.00,99.00,1273.00,1404.00
102.00,0.00,2.00,2.00,3.00,0.00,234.00,99.00,1098.00,1215.00
103.00,2.00,2.00,1.00,2.00,1.00,288.00,99.00,1073.00,1217.00
104.00,0.00,3.00,8.00,1.00,1.00,214.00,99.00,1248.00,1355.00
105.00,1.00,3.00,3.00,2.00,1.00,180.00,99.00,1123.00,1213.00
106.00,2.00,1.00,6.00,3.00,1.00,148.00,99.00,1198.00,1272.00
107.00,0.00,1.00,4.00,3.00,0.00,130.00,99.00,1148.00,1213.00
108.00,2.00,1.00,0.00,3.00,1.00,98.00,99.00,1048.00,1097.00
109.00,1.00,3.00,9.00,2.00,1.00,204.00,99.00,1273.00,1375.00
110.00,1.00,0.00,10.00,0.00,0.00,152.00,99.00,1298.00,1374.00
111.00,3.00,1.00,6.00,1.00,1.00,126.00,99.00,1198.00,1261.00
112.00,0.00,0.00,4.00,0.00,1.00,146.00,99.00,1148.00,1221.00
113.00,2.00,1.00,4.00,3.00,1.00,108.00,99.00,1148.00,1202.00
114.00,3.00,3.00,2.00,0.00,1.00,248.00,99.00,1098.00,1222.00
115.00,3.00,2.00,10.00,1.00,1.00,218.00,99.00,1298.00,1407.00
116.00,1.00,1.00,4.00,1.00,0.00,126.00,99.00,1148.00,1211.00
117.00,1.00,3.00,4.00,2.00,1.00,224.00,99.00,1148.00,1260.00
118.00,1.00,1.00,5.00,3.00,1.00,116.00,99.00,1173.00,1231.00
119.00,3.00,0.00,9.00,2.00,0.00,126.00,99.00,1273.00,1336.00
120.00,1.00,2.00,1.00,3.00,1.00,190.00,99.00,1073.00,1168.00
121.00,2.00,2.00,9.00,2.00,1.00,226.00,99.00,1273.00,1386.00
122.00,0.00,1.00,0.00,1.00,1.00,136.00,99.00,1048.00,1116.00
123.00,0.00,0.00,10.00,2.00,0.00,144.00,99.00,1298.00,1370.00
124.00,0.00,0.00,4.00,0.00,1.00,118.00,99.00,1148.00,1207.00
125.00,1.00,1.00,6.00,3.00,1.00,162.00,99.00,1198.00,1279.00
126.00,3.00,0.00,3.00,2.00,0.00,154.00,99.00,1123.00,1200.00
127.00,1.00,1.00,6.00,3.00,1.00,114.00,99.00,1198.00,1255.00
128.00,3.00,0.00,2.00,0.00,1.00,98.00,99.00,1098.00,1147.00
129.00,2.00,0.00,5.00,0.00,0.00,130.00,99.00,1173.00,1238.00
130.00,0.00,0.00,8.00,0.00,1.00,112.00,99.00,1248.00,1304.00
131.00,0.00,0.00,2.00,0.00,1.00,140.00,99.00,1098.00,1168.00
132.00,0.00,3.00,2.00,2.00,0.00,262.00,99.00,1098.00,1229.00
133.00,0.00,0.00,3.00,0.00,1.00,110.00,99.00,1123.00,1178.00
134.00,2.00,2.00,5.00,2.00,1.00,252.00,99.00,1173.00,1299.00
135.00,3.00,2.00,8.00,1.00,1.00,212.00,99.00,1248.00,1354.00
136.00,0.00,0.00,4.00,0.00,1.00,156.00,99.00,1148.00,1226.00
137.00,1.00,0.00,2.00,0.00,0.00,134.00,99.00,1098.00,1165.00
138.00,0.00,2.00,6.00,0.00,1.00,228.00,99.00,1198.00,1312.00
139.00,2.00,1.00,4.00,3.00,1.00,148.00,99.00,1148.00,1222.00
140.00,2.00,2.00,0.00,2.00,1.00,256.00,99.00,1048.00,1176.00
141.00,3.00,1.00,4.00,1.00,1.00,138.00,99.00,1148.00,1217.00
142.00,3.00,0.00,2.00,2.00,0.00,122.00,99.00,1098.00,1159.00
143.00,2.00,1.00,7.00,3.00,1.00,92.00,99.00,1223.00,1269.00
144.00,3.00,2.00,3.00,0.00,0.00,230.00,99.00,1123.00,1238.00
145.00,3.00,3.00,2.00,0.00,1.00,318.00,99.00,1098.00,1257.00
146.00,2.00,2.00,1.00,2.00,1.00,188.00,99.00,1073.00,1167.00
147.00,3.00,3.00,4.00,0.00,1.00,208.00,99.00,1148.00,1252.00
148.00,3.00,2.00,7.00,1.00,1.00,238.00,99.00,1223.00,1342.00
149.00,0.00,0.00,7.00,0.00,1.00,100.00,99.00,1223.00,1273.00
150.00,2.00,2.00,6.00,2.00,1.00,248.00,99.00,1198.00,1322.00
151.00,1.00,3.00,5.00,2.00,1.00,172.00,99.00,1173.00,1259.00
152.00,3.00,2.00,4.00,1.00,1.00,212.00,99.00,1148.00,1254.00
153.00,3.00,0.00,0.00,0.00,1.00,130.00,99.00,1048.00,1113.00
154.00,3.00,1.00,2.00,1.00,1.00,128.00,99.00,1098.00,1162.00
155.00,1.00,0.00,0.00,0.00,0.00,140.00,99.00,1048.00,1118.00
156.00,2.00,0.00,9.00,2.00,1.00,130.00,99.00,1273.00,1338.00
157.00,0.00,1.00,6.00,1.00,1.00,150.00,99.00,1198.00,1273.00
158.00,3.00,3.00,9.00,0.00,1.00,226.00,99.00,1273.00,1386.00
159.00,0.00,0.00,7.00,0.00,1.00,166.00,99.00,1223.00,1306.00
160.00,0.00,2.00,3.00,0.00,1.00,222.00,99.00,1123.00,1234.00
161.00,2.00,1.00,5.00,3.00,1.00,120.00,99.00,1173.00,1233.00
162.00,2.00,1.00,2.00,3.00,1.00,132.00,99.00,1098.00,1164.00
163.00,2.00,2.00,8.00,2.00,1.00,178.00,99.00,1248.00,1337.00
