# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,1.00,3.00,2.00,2.00,1.00,316.00,99.00,1098.00,1256.00
1.00,1.00,1.00,9.00,1.00,0.00,122.00,99.00,1273.00,1334.00
2.00,1.00,0.00,6.00,2.00,1.00,122.00,99.00,1198.00,1259.00
3.00,2.00,3.00,2.00,2.00,0.00,210.00,99.00,1098.00,1203.00
4.00,2.00,3.00,9.00,3.00,1.00,274.00,99.00,1273.00,1410.00
5.00,0.00,1.00,0.00,1.00,1.00,150.00,99.00,1048.00,1123.00
6.00,2.00,1.00,0.00,1.00,0.00,152.00,99.00,1048.00,1124.00
7.00,1.00,2.00,1.00,3.00,1.00,264.00,99.00,1073.00,1205.00
8.00,2.00,1.00,9.00,3.00,1.00,114.00,99.00,1273.00,1330.00
9.00,3.00,2.00,4.00,1.00,1.00,196.00,99.00,1148.00,1246.00
10.00,1.00,2.00,2.00,3.00,1.00,204.00,99.00,1098.00,1200.00
11.00,2.00,1.00,8.00,3.00,1.00,142.00,99.00,1248.00,1319.00
12.00,3.00,3.00,7.00,0.00,1.00,416.00,99.00,1223.00,1431.00
13.00,3.00,2.00,0.00,2.00,0.00,302.00,99.00,1048.00,1199.00
14.00,0.00,2.00,0.00,0.00,1.00,378.00,99.00,1048.00,1237.00
15.00,0.00,2.00,7.00,0.00,1.00,276.00,99.00,1223.00,1361.00
16.00,0.00,1.00,3.00,1.00,1.00,130.00,99.00,1123.00,1188.00
17.00,0.00,3.00,9.00,1.00,1.00,274.00,99.00,1273.00,1410.00
18.00,2.00,2.00,4.00,2.00,1.00,256.00,99.00,1148.00,1276.00
19.00,0.00,1.00,2.00,1.00,1.00,148.00,99.00,1098.00,1172.00
20.00,0.00,2.00,3.00,3.00,0.00,296.00,99.00,1123.00,1271.00
21.00,1.00,1.00,1.00,3.00,1.00,128.00,99.00,1073.00,1137.00
22.00,2.00,1.00,7.00,3.00,1.00,116.00,99.00,1223.00,1281.00
23.00,0.00,1.00,1.00,1.00,1.00,108.00,99.00,1073.00,1127.00
24.00,0.00,1.00,3.00,1.00,1.00,156.00,99.00,1123.00,1201.00
25.00,1.00,3.00,0.00,0.00,0.00,404.00,99.00,1048.00,1250.00
26.00,0.00,3.00,4.00,0.00,0.00,246.00,99.00,1148.00,1271.00
27.00,0.00,2.00,4.00,3.00,0.00,322.00,99.00,1148.00,1309.00
28.00,1.00,0.00,5.00,0.00,0.00,162.00,99.00,1173.00,1254.00
29.00,0.00,1.00,9.00,3.00,0.00,122.00,99.00,1273.00,1334.00
30.00,2.00,3.00,7.00,3.00,1.00,306.00,99.00,1223.00,1376.00
31.00,0.00,3.00,2.00,1.00,1.00,220.00,99.00,1098.00,1208.00
32.00,0.00,3.00,0.00,2.00,0.00,364.00,99.00,1048.00,1230.00
33.00,2.00,0.00,5.00,2.00,1.00,136.00,99.00,1173.00,1241.00
34.00,1.00,3.00,7.00,2.00,1.00,368.00,99.00,1223.00,1407.00
35.00,1.00,2.00,8.00,3.00,1.00,222.00,99.00,1248.00,1359.00
36.00,2.00,0.00,1.00,2.00,1.00,148.00,99.00,1073.00,1147.00
37.00,2.00,3.00,0.00,3.00,1.00,268.00,99.00,1048.00,1182.00
38.00,3.00,0.00,0.00,2.00,0.00,140.00,99.00,1048.00,1118.00
39.00,1.00,3.00,4.00,2.00,1.00,244.00,99.00,1148.00,1270.00
40.00,3.00,3.00,7.00,1.00,0.00,242.00,99.00,1223.00,1344.00
41.00,0.00,0.00,10.00,2.00,0.00,128.00,99.00,1298.00,1362.00
42.00,0.00,0.00,8.00,2.00,0.00,148.00,99.00,1248.00,1322.00
43.00,0.00,1.00,0.00,3.00,0.00,136.00,99.00,1048.00,1116.00
44.00,0.00,1.00,0.00,3.00,0.00,140.00,99.00,1048.00,1118.00
45.00,0.00,1.00,4.00,3.00,0.00,134.00,99.00,1148.00,1215.00
46.00,3.00,3.00,8.00,2.00,0.00,314.00,99.00,1248.00,1405.00
47.00,0.00,0.00,9.00,0.00,1.00,128.00,99.00,1273.00,1337.00
48.00,2.00,0.00,0.00,0.00,0.00,138.00,99.00,1048.00,1117.00
49.00,0.00,0.00,6.00,2.00,0.00,138.00,99.00,1198.00,1267.00
50.00,0.00,0.00,8.00,2.00,0.00,144.00,99.00,1248.00,1320.00
51.00,1.00,3.00,9.00,3.00,0.00,260.00,99.00,1273.00,1403.00
52.00,3.00,3.00,2.00,2.00,0.00,306.00,99.00,1098.00,1251.00
53.00,1.00,1.00,0.00,3.00,1.00,134.00,99.00,1048.00,1115.00
54.00,3.00,1.00,5.00,1.00,1.00,170.00,99.00,1173.00,1258.00
55.00,1.00,3.00,6.00,2.00,1.00,422.00,99.00,1198.00,1409.00
56.00,3.00,3.00,5.00,0.00,1.00,316.00,99.00,1173.00,1331.00
57.00,3.00,2.00,10.00,2.00,0.00,314.00,99.00,1298.00,1455.00
58.00,3.00,1.00,9.00,1.00,1.00,112.00,99.00,1273.00,1329.00
59.00,3.00,3.00,0.00,0.00,1.00,318.00,99.00,1048.00,1207.00
60.00,2.00,3.00,5.00,3.00,1.00,258.00,99.00,1173.00,1302.00
61.00,3.00,1.00,0.00,3.00,0.00,136.00,99.00,1048.00,1116.00
62.00,1.00,3.00,5.00,2.00,1.00,270.00,99.00,1173.00,1308.00
63.00,3.00,1.00,2.00,3.00,0.00,156.00,99.00,1098.00,1176.00
64.00,2.00,0.00,0.00,2.00,1.00,98.00,99.00,1048.00,1097.00
65.00,3.00,0.00,0.00,0.00,1.00,98.00,99.00,1048.00,1097.00
66.00,1.00,3.00,3.00,3.00,0.00,362.00,99.00,1123.00,1304.00
67.00,3.00,1.00,6.00,1.00,1.00,152.00,99.00,1198.00,1274.00
68.00,1.00,2.00,1.00,2.00,0.00,206.00,99.00,1073.00,1176.00
69.00,3.00,3.00,9.00,0.00,1.00,234.00,99.00,1273.00,1390.00
70.00,3.00,0.00,9.00,0.00,1.00,118.00,99.00,1273.00,1332.00
71.00,2.00,3.00,6.00,0.00,0.00,312.00,99.00,1198.00,1354.00
72.00,2.00,1.00,2.00,1.00,0.00,158.00,99.00,1098.00,1177.00
73.00,3.00,3.00,9.00,0.00,1.00,292.00,99.00,1273.00,1419.00
74.00,0.00,1.00,3.00,3.00,0.00,142.00,99.00,1123.00,1194.00
75.00,3.00,1.00,8.00,1.00,1.00,122.00,99.00,1248.00,1309.00
76.00,1.00,2.00,9.00,3.00,1.00,266.00,99.00,1273.00,1406.00
77.00,0.00,2.00,6.00,0.00,1.00,430.00,99.00,1198.00,1413.00
78.00,3.00,3.00,9.00,0.00,1.00,314.00,99.00,1273.00,1430.00
79.00,0.00,0.00,9.00,0.00,1.00,106.00,99.00,1273.00,1326.00
80.00,1.00,1.00,7.00,3.00,1.00,114.00,99.00,1223.00,1280.00
81.00,1.00,1.00,2.00,3.00,1.00,148.00,99.00,1098.00,1172.00
82.00,2.00,3.00,7.00,1.00,0.00,266.00,99.00,1223.00,1356.00
83.00,3.00,3.00,9.00,0.00,1.00,290.00,99.00,1273.00,1418.00
84.00,3.00,3.00,1.00,0.00,1.00,270.00,99.00,1073.00,1208.00
85.00,0.00,3.00,6.00,0.00,0.00,192.00,99.00,1198.00,1294.00
86.00,2.00,2.00,3.00,2.00,1.00,260.00,99.00,1123.00,1253.00
87.00,0.00,2.00,10.00,0.00,1.00,302.00,99.00,1298.00,1449.00
88.00,1.00,0.00,8.00,2.00,1.00,170.00,99.00,1248.00,1333.00
