# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,3.00,1.00,0.00,3.00,0.00,230.00,99.00,1048.00,1163.00
1.00,0.00,3.00,10.00,1.00,1.00,306.00,99.00,1298.00,1451.00
2.00,0.00,2.00,2.00,0.00,1.00,278.00,99.00,1098.00,1237.00
3.00,1.00,0.00,4.00,2.00,1.00,230.00,99.00,1148.00,1263.00
4.00,3.00,1.00,5.00,3.00,0.00,222.00,99.00,1173.00,1284.00
5.00,2.00,2.00,0.00,2.00,1.00,332.00,99.00,1048.00,1214.00
6.00,1.00,1.00,0.00,3.00,1.00,162.00,99.00,1048.00,1129.00
7.00,0.00,2.00,0.00,0.00,1.00,310.00,99.00,1048.00,1203.00
8.00,1.00,0.00,1.00,2.00,1.00,178.00,99.00,1073.00,1162.00
9.00,3.00,3.00,6.00,0.00,1.00,312.00,99.00,1198.00,1354.00
10.00,0.00,2.00,10.00,0.00,1.00,270.00,99.00,1298.00,1433.00
11.00,3.00,2.00,9.00,1.00,1.00,262.00,99.00,1273.00,1404.00
12.00,2.00,0.00,3.00,0.00,0.00,228.00,99.00,1123.00,1237.00
13.00,1.00,2.00,0.00,3.00,1.00,400.00,99.00,1048.00,1248.00
14.00,2.00,0.00,10.00,2.00,1.00,178.00,99.00,1298.00,1387.00
15.00,0.00,0.00,5.00,0.00,1.00,202.00,99.00,1173.00,1274.00
16.00,3.00,1.00,2.00,3.00,0.00,232.00,99.00,1098.00,1214.00
17.00,0.00,3.00,6.00,1.00,1.00,302.00,99.00,1198.00,1349.00
18.00,0.00,0.00,7.00,0.00,1.00,198.00,99.00,1223.00,1322.00
19.00,2.00,2.00,2.00,2.00,1.00,350.00,99.00,1098.00,1273.00
20.00,2.00,1.00,10.00,3.00,1.00,180.00,99.00,1298.00,1388.00
21.00,2.00,2.00,9.00,2.00,1.00,330.00,99.00,1273.00,1438.00
22.00,2.00,3.00,6.00,3.00,1.00,388.00,99.00,1198.00,1392.00
23.00,0.00,2.00,3.00,0.00,1.00,430.00,99.00,1123.00,1338.00
