# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,0.00,0.00,2.00,0.00,1.00,272.00,99.00,1098.00,1234.00
1.00,3.00,3.00,3.00,3.00,0.00,524.00,99.00,1123.00,1385.00
2.00,1.00,0.00,5.00,2.00,1.00,210.00,99.00,1173.00,1278.00
3.00,1.00,2.00,1.00,0.00,0.00,458.00,99.00,1073.00,1302.00
4.00,2.00,0.00,0.00,2.00,1.00,170.00,99.00,1048.00,1133.00
5.00,2.00,2.00,10.00,1.00,0.00,392.00,99.00,1298.00,1494.00
6.00,1.00,3.00,1.00,2.00,1.00,380.00,99.00,1073.00,1263.00
7.00,2.00,0.00,5.00,2.00,1.00,280.00,99.00,1173.00,1313.00
8.00,1.00,0.00,2.00,2.00,1.00,240.00,99.00,1098.00,1218.00
9.00,1.00,1.00,2.00,3.00,1.00,260.00,99.00,1098.00,1228.00
10.00,0.00,2.00,2.00,2.00,0.00,492.00,99.00,1098.00,1344.00
11.00,3.00,0.00,5.00,0.00,1.00,250.00,99.00,1173.00,1298.00
12.00,1.00,1.00,3.00,1.00,0.00,236.00,99.00,1123.00,1241.00
13.00,3.00,1.00,10.00,1.00,1.00,172.00,99.00,1298.00,1384.00
14.00,0.00,1.00,6.00,1.00,1.00,220.00,99.00,1198.00,1308.00
15.00,2.00,0.00,9.00,2.00,1.00,182.00,99.00,1273.00,1364.00
16.00,2.00,2.00,9.00,2.00,1.00,332.00,99.00,1273.00,1439.00
17.00,2.00,2.00,10.00,2.00,1.00,630.00,99.00,1298.00,1613.00
18.00,0.00,1.00,5.00,1.00,1.00,244.00,99.00,1173.00,1295.00
19.00,3.00,2.00,10.00,1.00,1.00,326.00,99.00,1298.00,1461.00
20.00,1.00,3.00,6.00,2.00,1.00,550.00,99.00,1198.00,1473.00
21.00,3.00,3.00,3.00,3.00,0.00,652.00,99.00,1123.00,1449.00
22.00,2.00,0.00,5.00,0.00,0.00,266.00,99.00,1173.00,1306.00
23.00,1.00,1.00,7.00,3.00,1.00,178.00,99.00,1223.00,1312.00
24.00,2.00,2.00,5.00,2.00,1.00,584.00,99.00,1173.00,1465.00
25.00,2.00,0.00,1.00,2.00,1.00,288.00,99.00,1073.00,1217.00
26.00,1.00,0.00,1.00,0.00,0.00,236.00,99.00,1073.00,1191.00
27.00,0.00,0.00,5.00,0.00,1.00,236.00,99.00,1173.00,1291.00
28.00,0.00,1.00,6.00,1.00,1.00,290.00,99.00,1198.00,1343.00
29.00,3.00,3.00,7.00,3.00,0.00,476.00,99.00,1223.00,1461.00
30.00,2.00,1.00,5.00,1.00,0.00,276.00,99.00,1173.00,1311.00
31.00,1.00,0.00,2.00,0.00,0.00,206.00,99.00,1098.00,1201.00
32.00,1.00,1.00,5.00,3.00,1.00,232.00,99.00,1173.00,1289.00
33.00,2.00,2.00,7.00,2.00,1.00,610.00,99.00,1223.00,1528.00
34.00,3.00,1.00,9.00,1.00,1.00,330.00,99.00,1273.00,1438.00
35.00,1.00,2.00,4.00,1.00,0.00,584.00,99.00,1148.00,1440.00
36.00,2.00,1.00,8.00,3.00,1.00,240.00,99.00,1248.00,1368.00
37.00,0.00,3.00,9.00,1.00,1.00,580.00,99.00,1273.00,1563.00
38.00,1.00,1.00,4.00,3.00,1.00,268.00,99.00,1148.00,1282.00
39.00,1.00,2.00,3.00,2.00,0.00,614.00,99.00,1123.00,1430.00
40.00,0.00,3.00,3.00,0.00,0.00,664.00,99.00,1123.00,1455.00
41.00,3.00,2.00,1.00,1.00,1.00,560.00,99.00,1073.00,1353.00
42.00,2.00,0.00,9.00,2.00,1.00,154.00,99.00,1273.00,1350.00
43.00,2.00,2.00,9.00,2.00,1.00,392.00,99.00,1273.00,1469.00
44.00,0.00,1.00,8.00,1.00,1.00,280.00,99.00,1248.00,1388.00
45.00,0.00,2.00,0.00,0.00,1.00,356.00,99.00,1048.00,1226.00
46.00,1.00,2.00,5.00,3.00,1.00,670.00,99.00,1173.00,1508.00
47.00,2.00,1.00,5.00,3.00,1.00,218.00,99.00,1173.00,1282.00
48.00,3.00,2.00,5.00,1.00,1.00,384.00,99.00,1173.00,1365.00
49.00,2.00,1.00,6.00,1.00,0.00,310.00,99.00,1198.00,1353.00
50.00,2.00,2.00,2.00,2.00,1.00,448.00,99.00,1098.00,1322.00
51.00,3.00,0.00,8.00,0.00,1.00,184.00,99.00,1248.00,1340.00
52.00,1.00,1.00,3.00,3.00,1.00,254.00,99.00,1123.00,1250.00
53.00,1.00,1.00,8.00,3.00,1.00,226.00,99.00,1248.00,1361.00
54.00,2.00,1.00,10.00,3.00,1.00,274.00,99.00,1298.00,1435.00
55.00,1.00,0.00,0.00,0.00,0.00,256.00,99.00,1048.00,1176.00
56.00,2.00,2.00,4.00,2.00,1.00,804.00,99.00,1148.00,1550.00
57.00,3.00,1.00,1.00,1.00,1.00,270.00,99.00,1073.00,1208.00
58.00,1.00,0.00,3.00,0.00,0.00,238.00,99.00,1123.00,1242.00
59.00,2.00,1.00,7.00,1.00,0.00,220.00,99.00,1223.00,1333.00
60.00,3.00,3.00,3.00,1.00,0.00,536.00,99.00,1123.00,1391.00
61.00,3.00,0.00,1.00,0.00,1.00,246.00,99.00,1073.00,1196.00
62.00,0.00,2.00,7.00,0.00,1.00,586.00,99.00,1223.00,1516.00
63.00,2.00,2.00,0.00,2.00,1.00,544.00,99.00,1048.00,1320.00
64.00,3.00,2.00,0.00,1.00,1.00,386.00,99.00,1048.00,1241.00
65.00,0.00,2.00,6.00,3.00,0.00,732.00,99.00,1198.00,1564.00
66.00,2.00,3.00,4.00,2.00,0.00,888.00,99.00,1148.00,1592.00
67.00,2.00,0.00,8.00,0.00,0.00,176.00,99.00,1248.00,1336.00
68.00,0.00,1.00,3.00,3.00,0.00,276.00,99.00,1123.00,1261.00
69.00,1.00,3.00,9.00,1.00,0.00,684.00,99.00,1273.00,1615.00
70.00,3.00,1.00,5.00,1.00,1.00,236.00,99.00,1173.00,1291.00
71.00,2.00,1.00,7.00,3.00,1.00,170.00,99.00,1223.00,1308.00
72.00,1.00,0.00,9.00,0.00,0.00,254.00,99.00,1273.00,1400.00
73.00,1.00,3.00,10.00,2.00,1.00,398.00,99.00,1298.00,1497.00
74.00,1.00,3.00,10.00,2.00,1.00,384.00,99.00,1298.00,1490.00
75.00,2.00,0.00,10.00,2.00,1.00,114.00,99.00,1298.00,1355.00
76.00,2.00,1.00,5.00,3.00,1.00,212.00,99.00,1173.00,1279.00
77.00,0.00,0.00,0.00,0.00,1.00,248.00,99.00,1048.00,1172.00
78.00,3.00,0.00,0.00,0.00,1.00,142.00,99.00,1048.00,1119.00
79.00,3.00,0.00,8.00,0.00,1.00,246.00,99.00,1248.00,1371.00
80.00,1.00,0.00,2.00,2.00,1.00,244.00,99.00,1098.00,1220.00
81.00,3.00,2.00,8.00,3.00,0.00,748.00,99.00,1248.00,1622.00
82.00,0.00,3.00,10.00,1.00,1.00,436.00,99.00,1298.00,1516.00
83.00,1.00,2.00,7.00,0.00,0.00,790.00,99.00,1223.00,1618.00
84.00,3.00,3.00,10.00,3.00,0.00,520.00,99.00,1298.00,1558.00
85.00,2.00,3.00,10.00,3.00,1.00,346.00,99.00,1298.00,1471.00
86.00,2.00,3.00,7.00,3.00,1.00,456.00,99.00,1223.00,1451.00
87.00,0.00,1.00,9.00,1.00,1.00,132.00,99.00,1273.00,1339.00
88.00,1.00,2.00,0.00,3.00,1.00,408.00,99.00,1048.00,1252.00
89.00,1.00,1.00,5.00,1.00,0.00,226.00,99.00,1173.00,1286.00
90.00,2.00,3.00,6.00,3.00,1.00,552.00,99.00,1198.00,1474.00
91.00,1.00,2.00,9.00,3.00,1.00,428.00,99.00,1273.00,1487.00
92.00,0.00,1.00,3.00,1.00,1.00,238.00,99.00,1123.00,1242.00
93.00,3.00,3.00,6.00,0.00,1.00,302.00,99.00,1198.00,1349.00
94.00,3.00,3.00,6.00,0.00,1.00,368.00,99.00,1198.00,1382.00
95.00,0.00,2.00,9.00,0.00,1.00,578.00,99.00,1273.00,1562.00
96.00,3.00,0.00,4.00,0.00,1.00,310.00,99.00,1148.00,1303.00
97.00,2.00,3.00,4.00,0.00,0.00,772.00,99.00,1148.00,1534.00
98.00,3.00,2.00,4.00,1.00,1.00,446.00,99.00,1148.00,1371.00
99.00,2.00,1.00,9.00,3.00,1.00,132.00,99.00,1273.00,1339.00
100.00,3.00,3.00,8.00,2.00,0.00,526.00,99.00,1248.00,1511.00
101.00,0.00,1.00,0.00,3.00,0.00,252.00,99.00,1048.00,1174.00
102.00,0.00,0.00,0.00,0.00,1.00,154.00,99.00,1048.00,1125.00
103.00,3.00,1.00,2.00,3.00,0.00,222.00,99.00,1098.00,1209.00
104.00,2.00,3.00,7.00,0.00,0.00,686.00,99.00,1223.00,1566.00
105.00,0.00,3.00,8.00,2.00,0.00,532.00,99.00,1248.00,1514.00
106.00,0.00,3.00,0.00,1.00,1.00,332.00,99.00,1048.00,1214.00
107.00,1.00,2.00,6.00,0.00,0.00,724.00,99.00,1198.00,1560.00
108.00,0.00,1.00,6.00,3.00,0.00,252.00,99.00,1198.00,1324.00
109.00,2.00,3.00,4.00,3.00,1.00,628.00,99.00,1148.00,1462.00
110.00,1.00,1.00,3.00,1.00,0.00,280.00,99.00,1123.00,1263.00
111.00,0.00,2.00,6.00,0.00,1.00,420.00,99.00,1198.00,1408.00
112.00,2.00,1.00,4.00,1.00,0.00,272.00,99.00,1148.00,1284.00
113.00,0.00,3.00,9.00,2.00,0.00,688.00,99.00,1273.00,1617.00
114.00,1.00,2.00,3.00,1.00,0.00,520.00,99.00,1123.00,1383.00
115.00,3.00,2.00,9.00,1.00,1.00,538.00,99.00,1273.00,1542.00
116.00,1.00,2.00,7.00,3.00,1.00,420.00,99.00,1223.00,1433.00
117.00,3.00,3.00,4.00,1.00,0.00,714.00,99.00,1148.00,1505.00
118.00,0.00,2.00,1.00,1.00,0.00,482.00,99.00,1073.00,1314.00
119.00,1.00,0.00,7.00,2.00,1.00,210.00,99.00,1223.00,1328.00
120.00,0.00,1.00,10.00,1.00,1.00,202.00,99.00,1298.00,1399.00
121.00,1.00,3.00,9.00,2.00,1.00,506.00,99.00,1273.00,1526.00
122.00,2.00,1.00,8.00,3.00,1.00,212.00,99.00,1248.00,1354.00
123.00,0.00,0.00,1.00,0.00,1.00,226.00,99.00,1073.00,1186.00
124.00,1.00,2.00,5.00,3.00,1.00,622.00,99.00,1173.00,1484.00
125.00,1.00,0.00,10.00,2.00,1.00,196.00,99.00,1298.00,1396.00
