# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,0.00,0.00,1.00,0.00,1.00,58.00,99.00,1073.00,1102.00
1.00,2.00,2.00,8.00,2.00,1.00,54.00,99.00,1248.00,1275.00
2.00,1.00,0.00,7.00,0.00,0.00,40.00,99.00,1223.00,1243.00
3.00,1.00,2.00,1.00,2.00,0.00,56.00,99.00,1073.00,1101.00
4.00,1.00,1.00,8.00,3.00,1.00,56.00,99.00,1248.00,1276.00
5.00,0.00,0.00,4.00,2.00,0.00,32.00,99.00,1148.00,1164.00
6.00,2.00,2.00,9.00,1.00,0.00,54.00,99.00,1273.00,1300.00
7.00,0.00,1.00,0.00,3.00,0.00,36.00,99.00,1048.00,1066.00
8.00,0.00,3.00,2.00,0.00,0.00,42.00,99.00,1098.00,1119.00
9.00,1.00,3.00,6.00,2.00,1.00,54.00,99.00,1198.00,1225.00
10.00,1.00,0.00,0.00,2.00,1.00,28.00,99.00,1048.00,1062.00
11.00,2.00,3.00,1.00,0.00,0.00,50.00,99.00,1073.00,1098.00
12.00,0.00,0.00,1.00,0.00,1.00,44.00,99.00,1073.00,1095.00
13.00,3.00,1.00,7.00,1.00,1.00,48.00,99.00,1223.00,1247.00
14.00,2.00,1.00,9.00,3.00,1.00,36.00,99.00,1273.00,1291.00
15.00,3.00,3.00,6.00,0.00,1.00,68.00,99.00,1198.00,1232.00
16.00,3.00,2.00,2.00,1.00,1.00,52.00,99.00,1098.00,1124.00
17.00,2.00,3.00,5.00,3.00,1.00,52.00,99.00,1173.00,1199.00
18.00,3.00,0.00,6.00,0.00,1.00,44.00,99.00,1198.00,1220.00
19.00,2.00,2.00,9.00,2.00,1.00,56.00,99.00,1273.00,1301.00
20.00,0.00,3.00,6.00,0.00,0.00,62.00,99.00,1198.00,1229.00
21.00,0.00,0.00,7.00,2.00,0.00,44.00,99.00,1223.00,1245.00
22.00,2.00,2.00,0.00,3.00,0.00,54.00,99.00,1048.00,1075.00
23.00,1.00,0.00,1.00,2.00,1.00,28.00,99.00,1073.00,1087.00
24.00,2.00,3.00,7.00,2.00,0.00,58.00,99.00,1223.00,1252.00
25.00,2.00,3.00,3.00,0.00,0.00,62.00,99.00,1123.00,1154.00
26.00,2.00,3.00,5.00,3.00,1.00,48.00,99.00,1173.00,1197.00
27.00,1.00,1.00,1.00,3.00,1.00,30.00,99.00,1073.00,1088.00
28.00,2.00,0.00,5.00,2.00,1.00,32.00,99.00,1173.00,1189.00
29.00,1.00,1.00,6.00,1.00,0.00,40.00,99.00,1198.00,1218.00
30.00,3.00,1.00,7.00,1.00,1.00,36.00,99.00,1223.00,1241.00
31.00,1.00,3.00,1.00,1.00,0.00,46.00,99.00,1073.00,1096.00
32.00,3.00,0.00,7.00,0.00,1.00,32.00,99.00,1223.00,1239.00
33.00,1.00,3.00,10.00,2.00,1.00,38.00,99.00,1298.00,1317.00
34.00,3.00,3.00,3.00,0.00,1.00,66.00,99.00,1123.00,1156.00
35.00,2.00,0.00,7.00,2.00,1.00,38.00,99.00,1223.00,1242.00
36.00,1.00,1.00,7.00,1.00,0.00,46.00,99.00,1223.00,1246.00
37.00,3.00,0.00,5.00,0.00,1.00,34.00,99.00,1173.00,1190.00
38.00,2.00,2.00,0.00,2.00,1.00,52.00,99.00,1048.00,1074.00
39.00,0.00,0.00,0.00,0.00,1.00,34.00,99.00,1048.00,1065.00
40.00,1.00,3.00,6.00,2.00,1.00,56.00,99.00,1198.00,1226.00
41.00,1.00,0.00,9.00,0.00,0.00,44.00,99.00,1273.00,1295.00
42.00,3.00,1.00,4.00,1.00,1.00,32.00,99.00,1148.00,1164.00
43.00,3.00,2.00,3.00,1.00,1.00,62.00,99.00,1123.00,1154.00
44.00,0.00,3.00,1.00,0.00,0.00,46.00,99.00,1073.00,1096.00
45.00,1.00,0.00,6.00,2.00,1.00,36.00,99.00,1198.00,1216.00
46.00,1.00,0.00,5.00,2.00,1.00,46.00,99.00,1173.00,1196.00
47.00,1.00,2.00,10.00,3.00,1.00,34.00,99.00,1298.00,1315.00
48.00,2.00,0.00,8.00,0.00,0.00,46.00,99.00,1248.00,1271.00
49.00,0.00,2.00,2.00,1.00,0.00,54.00,99.00,1098.00,1125.00
50.00,0.00,2.00,10.00,0.00,1.00,48.00,99.00,1298.00,1322.00
51.00,3.00,3.00,3.00,1.00,0.00,42.00,99.00,1123.00,1144.00
52.00,2.00,3.00,6.00,3.00,1.00,58.00,99.00,1198.00,1227.00
53.00,0.00,0.00,6.00,0.00,1.00,42.00,99.00,1198.00,1219.00
54.00,2.00,3.00,0.00,0.00,0.00,62.00,99.00,1048.00,1079.00
55.00,3.00,0.00,7.00,0.00,1.00,52.00,99.00,1223.00,1249.00
56.00,2.00,1.00,0.00,3.00,1.00,38.00,99.00,1048.00,1067.00
57.00,2.00,2.00,5.00,2.00,1.00,42.00,99.00,1173.00,1194.00
58.00,3.00,2.00,8.00,1.00,1.00,30.00,99.00,1248.00,1263.00
59.00,3.00,2.00,6.00,1.00,1.00,56.00,99.00,1198.00,1226.00
60.00,1.00,2.00,5.00,3.00,1.00,50.00,99.00,1173.00,1198.00
61.00,3.00,1.00,10.00,1.00,1.00,56.00,99.00,1298.00,1326.00
62.00,2.00,0.00,3.00,2.00,1.00,32.00,99.00,1123.00,1139.00
63.00,0.00,0.00,5.00,2.00,0.00,42.00,99.00,1173.00,1194.00
64.00,2.00,0.00,3.00,0.00,0.00,34.00,99.00,1123.00,1140.00
65.00,2.00,3.00,9.00,0.00,0.00,50.00,99.00,1273.00,1298.00
66.00,2.00,0.00,6.00,2.00,1.00,22.00,99.00,1198.00,1209.00
67.00,1.00,3.00,0.00,2.00,1.00,42.00,99.00,1048.00,1069.00
68.00,3.00,2.00,3.00,1.00,1.00,58.00,99.00,1123.00,1152.00
69.00,1.00,1.00,1.00,3.00,1.00,48.00,99.00,1073.00,1097.00
70.00,0.00,0.00,1.00,2.00,0.00,34.00,99.00,1073.00,1090.00
71.00,1.00,0.00,9.00,2.00,1.00,40.00,99.00,1273.00,1293.00
72.00,3.00,0.00,2.00,0.00,1.00,40.00,99.00,1098.00,1118.00
73.00,1.00,0.00,1.00,0.00,0.00,28.00,99.00,1073.00,1087.00
74.00,3.00,3.00,2.00,0.00,1.00,42.00,99.00,1098.00,1119.00
75.00,2.00,2.00,8.00,2.00,1.00,30.00,99.00,1248.00,1263.00
76.00,2.00,0.00,6.00,2.00,1.00,40.00,99.00,1198.00,1218.00
77.00,2.00,1.00,1.00,3.00,1.00,30.00,99.00,1073.00,1088.00
78.00,3.00,2.00,10.00,1.00,1.00,54.00,99.00,1298.00,1325.00
79.00,1.00,1.00,1.00,1.00,0.00,52.00,99.00,1073.00,1099.00
80.00,3.00,3.00,6.00,0.00,1.00,48.00,99.00,1198.00,1222.00
81.00,0.00,0.00,5.00,2.00,0.00,44.00,99.00,1173.00,1195.00
