# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,2.00,2.00,6.00,2.00,1.00,328.00,99.00,1198.00,1362.00
1.00,1.00,2.00,4.00,3.00,1.00,570.00,99.00,1148.00,1433.00
2.00,0.00,3.00,0.00,1.00,1.00,372.00,99.00,1048.00,1234.00
3.00,2.00,2.00,9.00,2.00,1.00,284.00,99.00,1273.00,1415.00
4.00,2.00,2.00,6.00,2.00,1.00,344.00,99.00,1198.00,1370.00
5.00,1.00,2.00,0.00,0.00,0.00,316.00,99.00,1048.00,1206.00
6.00,1.00,1.00,0.00,3.00,1.00,168.00,99.00,1048.00,1132.00
7.00,0.00,2.00,9.00,0.00,1.00,656.00,99.00,1273.00,1601.00
8.00,0.00,2.00,5.00,0.00,1.00,298.00,99.00,1173.00,1322.00
9.00,2.00,2.00,8.00,2.00,1.00,336.00,99.00,1248.00,1416.00
10.00,1.00,0.00,3.00,2.00,1.00,164.00,99.00,1123.00,1205.00
11.00,0.00,0.00,2.00,0.00,1.00,256.00,99.00,1098.00,1226.00
12.00,1.00,3.00,6.00,2.00,1.00,264.00,99.00,1198.00,1330.00
13.00,2.00,0.00,3.00,2.00,1.00,150.00,99.00,1123.00,1198.00
14.00,2.00,3.00,1.00,3.00,1.00,418.00,99.00,1073.00,1282.00
15.00,2.00,0.00,8.00,2.00,1.00,184.00,99.00,1248.00,1340.00
16.00,0.00,2.00,5.00,0.00,1.00,364.00,99.00,1173.00,1355.00
17.00,0.00,1.00,5.00,1.00,1.00,150.00,99.00,1173.00,1248.00
18.00,1.00,3.00,0.00,2.00,1.00,332.00,99.00,1048.00,1214.00
19.00,1.00,3.00,9.00,2.00,1.00,404.00,99.00,1273.00,1475.00
20.00,2.00,0.00,6.00,2.00,1.00,188.00,99.00,1198.00,1292.00
21.00,3.00,3.00,2.00,0.00,1.00,398.00,99.00,1098.00,1297.00
22.00,1.00,2.00,3.00,3.00,1.00,372.00,99.00,1123.00,1309.00
23.00,1.00,3.00,5.00,3.00,0.00,468.00,99.00,1173.00,1407.00
24.00,1.00,0.00,4.00,2.00,1.00,200.00,99.00,1148.00,1248.00
25.00,3.00,1.00,6.00,3.00,0.00,200.00,99.00,1198.00,1298.00
26.00,3.00,2.00,4.00,1.00,1.00,332.00,99.00,1148.00,1314.00
27.00,2.00,0.00,10.00,2.00,1.00,202.00,99.00,1298.00,1399.00
28.00,0.00,2.00,10.00,1.00,0.00,498.00,99.00,1298.00,1547.00
29.00,0.00,2.00,6.00,0.00,1.00,362.00,99.00,1198.00,1379.00
30.00,3.00,2.00,6.00,1.00,1.00,390.00,99.00,1198.00,1393.00
31.00,3.00,1.00,0.00,1.00,1.00,136.00,99.00,1048.00,1116.00
32.00,2.00,3.00,1.00,3.00,1.00,344.00,99.00,1073.00,1245.00
33.00,2.00,3.00,0.00,3.00,1.00,544.00,99.00,1048.00,1320.00
34.00,0.00,1.00,9.00,1.00,1.00,230.00,99.00,1273.00,1388.00
35.00,3.00,2.00,10.00,1.00,1.00,380.00,99.00,1298.00,1488.00
36.00,2.00,1.00,10.00,3.00,1.00,184.00,99.00,1298.00,1390.00
37.00,2.00,3.00,6.00,3.00,1.00,294.00,99.00,1198.00,1345.00
38.00,3.00,1.00,10.00,1.00,1.00,208.00,99.00,1298.00,1402.00
