# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,3.00,0.00,6.00,2.00,0.00,158.00,99.00,1198.00,1277.00
1.00,1.00,0.00,7.00,2.00,1.00,118.00,99.00,1223.00,1282.00
2.00,1.00,0.00,3.00,0.00,0.00,142.00,99.00,1123.00,1194.00
3.00,2.00,2.00,6.00,2.00,1.00,566.00,99.00,1198.00,1481.00
4.00,3.00,3.00,5.00,0.00,1.00,234.00,99.00,1173.00,1290.00
5.00,3.00,1.00,1.00,1.00,1.00,168.00,99.00,1073.00,1157.00
6.00,3.00,0.00,4.00,0.00,1.00,104.00,99.00,1148.00,1200.00
7.00,1.00,1.00,2.00,3.00,1.00,130.00,99.00,1098.00,1163.00
8.00,2.00,3.00,9.00,3.00,1.00,212.00,99.00,1273.00,1379.00
9.00,3.00,3.00,7.00,0.00,1.00,400.00,99.00,1223.00,1423.00
10.00,3.00,2.00,0.00,1.00,1.00,264.00,99.00,1048.00,1180.00
11.00,3.00,2.00,8.00,1.00,1.00,240.00,99.00,1248.00,1368.00
12.00,2.00,3.00,8.00,3.00,1.00,272.00,99.00,1248.00,1384.00
13.00,2.00,0.00,1.00,2.00,1.00,148.00,99.00,1073.00,1147.00
14.00,1.00,1.00,1.00,1.00,0.00,170.00,99.00,1073.00,1158.00
15.00,0.00,3.00,8.00,1.00,1.00,284.00,99.00,1248.00,1390.00
16.00,1.00,1.00,7.00,1.00,0.00,198.00,99.00,1223.00,1322.00
17.00,3.00,2.00,4.00,1.00,1.00,262.00,99.00,1148.00,1279.00
18.00,0.00,2.00,0.00,0.00,1.00,314.00,99.00,1048.00,1205.00
19.00,2.00,3.00,10.00,3.00,1.00,294.00,99.00,1298.00,1445.00
20.00,2.00,1.00,6.00,3.00,1.00,148.00,99.00,1198.00,1272.00
21.00,3.00,3.00,5.00,0.00,1.00,364.00,99.00,1173.00,1355.00
22.00,2.00,1.00,2.00,3.00,1.00,136.00,99.00,1098.00,1166.00
23.00,0.00,2.00,8.00,3.00,0.00,418.00,99.00,1248.00,1457.00
24.00,0.00,0.00,4.00,0.00,1.00,116.00,99.00,1148.00,1206.00
25.00,2.00,2.00,6.00,2.00,1.00,242.00,99.00,1198.00,1319.00
26.00,1.00,0.00,1.00,2.00,1.00,116.00,99.00,1073.00,1131.00
27.00,3.00,0.00,0.00,0.00,1.00,126.00,99.00,1048.00,1111.00
28.00,1.00,0.00,5.00,2.00,1.00,126.00,99.00,1173.00,1236.00
29.00,1.00,2.00,1.00,3.00,1.00,262.00,99.00,1073.00,1204.00
30.00,2.00,3.00,3.00,3.00,1.00,224.00,99.00,1123.00,1235.00
31.00,3.00,2.00,9.00,1.00,1.00,336.00,99.00,1273.00,1441.00
32.00,1.00,2.00,3.00,3.00,1.00,394.00,99.00,1123.00,1320.00
33.00,2.00,0.00,8.00,0.00,0.00,144.00,99.00,1248.00,1320.00
34.00,1.00,2.00,8.00,3.00,1.00,226.00,99.00,1248.00,1361.00
35.00,0.00,3.00,1.00,1.00,1.00,198.00,99.00,1073.00,1172.00
36.00,3.00,2.00,6.00,1.00,1.00,276.00,99.00,1198.00,1336.00
37.00,2.00,2.00,4.00,2.00,1.00,316.00,99.00,1148.00,1306.00
38.00,0.00,0.00,5.00,0.00,1.00,118.00,99.00,1173.00,1232.00
39.00,0.00,1.00,6.00,1.00,1.00,100.00,99.00,1198.00,1248.00
40.00,3.00,3.00,4.00,0.00,1.00,296.00,99.00,1148.00,1296.00
41.00,0.00,2.00,2.00,0.00,1.00,338.00,99.00,1098.00,1267.00
42.00,3.00,1.00,6.00,3.00,0.00,148.00,99.00,1198.00,1272.00
43.00,2.00,0.00,6.00,2.00,1.00,108.00,99.00,1198.00,1252.00
44.00,0.00,3.00,0.00,1.00,1.00,204.00,99.00,1048.00,1150.00
45.00,0.00,1.00,9.00,1.00,1.00,152.00,99.00,1273.00,1349.00
46.00,2.00,2.00,3.00,2.00,1.00,260.00,99.00,1123.00,1253.00
47.00,1.00,1.00,5.00,3.00,1.00,204.00,99.00,1173.00,1275.00
48.00,2.00,2.00,9.00,2.00,1.00,326.00,99.00,1273.00,1436.00
49.00,0.00,3.00,5.00,1.00,1.00,440.00,99.00,1173.00,1393.00
50.00,0.00,0.00,2.00,2.00,0.00,178.00,99.00,1098.00,1187.00
51.00,3.00,3.00,10.00,0.00,1.00,444.00,99.00,1298.00,1520.00
52.00,3.00,2.00,1.00,1.00,1.00,278.00,99.00,1073.00,1212.00
53.00,2.00,3.00,3.00,3.00,1.00,356.00,99.00,1123.00,1301.00
54.00,2.00,0.00,6.00,2.00,1.00,200.00,99.00,1198.00,1298.00
55.00,0.00,2.00,1.00,1.00,0.00,380.00,99.00,1073.00,1263.00
56.00,3.00,1.00,10.00,1.00,1.00,140.00,99.00,1298.00,1368.00
57.00,2.00,1.00,3.00,3.00,1.00,168.00,99.00,1123.00,1207.00
58.00,3.00,1.00,4.00,1.00,1.00,172.00,99.00,1148.00,1234.00
59.00,2.00,2.00,7.00,2.00,1.00,386.00,99.00,1223.00,1416.00
60.00,3.00,1.00,8.00,1.00,1.00,158.00,99.00,1248.00,1327.00
61.00,0.00,2.00,4.00,0.00,1.00,628.00,99.00,1148.00,1462.00
62.00,1.00,3.00,2.00,2.00,1.00,388.00,99.00,1098.00,1292.00
63.00,3.00,3.00,3.00,0.00,1.00,300.00,99.00,1123.00,1273.00
64.00,3.00,1.00,10.00,1.00,1.00,126.00,99.00,1298.00,1361.00
