# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,1.00,0.00,10.00,0.00,0.00,76.00,99.00,1298.00,1336.00
1.00,3.00,3.00,5.00,0.00,1.00,110.00,99.00,1173.00,1228.00
2.00,2.00,2.00,3.00,1.00,0.00,166.00,99.00,1123.00,1206.00
3.00,1.00,1.00,5.00,1.00,0.00,102.00,99.00,1173.00,1224.00
4.00,0.00,3.00,0.00,0.00,0.00,184.00,99.00,1048.00,1140.00
5.00,0.00,2.00,0.00,1.00,0.00,162.00,99.00,1048.00,1129.00
6.00,2.00,0.00,10.00,0.00,0.00,132.00,99.00,1298.00,1364.00
7.00,2.00,0.00,9.00,2.00,1.00,74.00,99.00,1273.00,1310.00
8.00,1.00,0.00,1.00,2.00,1.00,70.00,99.00,1073.00,1108.00
9.00,2.00,3.00,2.00,3.00,1.00,172.00,99.00,1098.00,1184.00
10.00,1.00,2.00,8.00,3.00,1.00,148.00,99.00,1248.00,1322.00
11.00,3.00,2.00,8.00,1.00,1.00,116.00,99.00,1248.00,1306.00
12.00,1.00,0.00,3.00,2.00,1.00,92.00,99.00,1123.00,1169.00
13.00,0.00,0.00,9.00,0.00,1.00,68.00,99.00,1273.00,1307.00
14.00,0.00,1.00,8.00,1.00,1.00,114.00,99.00,1248.00,1305.00
15.00,2.00,0.00,0.00,2.00,1.00,70.00,99.00,1048.00,1083.00
16.00,0.00,2.00,8.00,0.00,1.00,142.00,99.00,1248.00,1319.00
17.00,1.00,2.00,7.00,3.00,1.00,106.00,99.00,1223.00,1276.00
18.00,0.00,1.00,6.00,1.00,1.00,52.00,99.00,1198.00,1224.00
19.00,3.00,2.00,1.00,1.00,1.00,130.00,99.00,1073.00,1138.00
20.00,1.00,0.00,10.00,0.00,0.00,72.00,99.00,1298.00,1334.00
21.00,0.00,1.00,0.00,1.00,1.00,88.00,99.00,1048.00,1092.00
22.00,1.00,3.00,2.00,2.00,1.00,106.00,99.00,1098.00,1151.00
