# trial,instr,stim,isi,response,accuracy,rt,instr_onset,stim_onset,resp_onset
0.00,0.00,0.00,10.00,0.00,1.00,148.00,99.00,1298.00,1372.00
1.00,0.00,1.00,8.00,1.00,1.00,168.00,99.00,1248.00,1332.00
2.00,3.00,1.00,7.00,1.00,1.00,166.00,99.00,1223.00,1306.00
3.00,3.00,1.00,10.00,1.00,1.00,204.00,99.00,1298.00,1400.00
4.00,0.00,3.00,8.00,1.00,1.00,230.00,99.00,1248.00,1363.00
5.00,2.00,0.00,4.00,0.00,0.00,202.00,99.00,1148.00,1249.00
6.00,3.00,0.00,9.00,0.00,1.00,190.00,99.00,1273.00,1368.00
7.00,2.00,2.00,0.00,2.00,1.00,262.00,99.00,1048.00,1179.00
8.00,0.00,3.00,4.00,1.00,1.00,264.00,99.00,1148.00,1280.00
9.00,2.00,2.00,1.00,1.00,0.00,272.00,99.00,1073.00,1209.00
10.00,0.00,2.00,3.00,0.00,1.00,322.00,99.00,1123.00,1284.00
11.00,3.00,0.00,1.00,0.00,1.00,170.00,99.00,1073.00,1158.00
12.00,1.00,3.00,5.00,2.00,1.00,276.00,99.00,1173.00,1311.00
13.00,2.00,3.00,1.00,3.00,1.00,238.00,99.00,1073.00,1192.00
14.00,0.00,3.00,5.00,1.00,1.00,228.00,99.00,1173.00,1287.00
15.00,0.00,0.00,5.00,0.00,1.00,194.00,99.00,1173.00,1270.00
16.00,2.00,0.00,1.00,2.00,1.00,176.00,99.00,1073.00,1161.00
17.00,1.00,2.00,0.00,3.00,1.00,268.00,99.00,1048.00,1182.00
18.00,1.00,3.00,4.00,1.00,0.00,342.00,99.00,1148.00,1319.00
19.00,1.00,1.00,6.00,3.00,1.00,170.00,99.00,1198.00,1283.00
20.00,3.00,0.00,8.00,2.00,0.00,188.00,99.00,1248.00,1342.00
21.00,1.00,2.00,4.00,3.00,1.00,240.00,99.00,1148.00,1268.00
22.00,0.00,3.00,7.00,1.00,1.00,268.00,99.00,1223.00,1357.00
23.00,0.00,3.00,0.00,1.00,1.00,260.00,99.00,1048.00,1178.00
24.00,2.00,0.00,0.00,2.00,1.00,148.00,99.00,1048.00,1122.00
25.00,1.00,1.00,9.00,3.00,1.00,184.00,99.00,1273.00,1365.00
26.00,3.00,1.00,4.00,1.00,1.00,166.00,99.00,1148.00,1231.00
27.00,3.00,1.00,7.00,1.00,1.00,168.00,99.00,1223.00,1307.00
28.00,0.00,1.00,6.00,1.00,1.00,126.00,99.00,1198.00,1261.00
29.00,1.00,0.00,9.00,2.00,1.00,158.00,99.00,1273.00,1352.00
30.00,3.00,2.00,5.00,1.00,1.00,296.00,99.00,1173.00,1321.00
31.00,1.00,3.00,3.00,2.00,1.00,320.00,99.00,1123.00,1283.00
32.00,3.00,2.00,4.00,1.00,1.00,244.00,99.00,1148.00,1270.00
33.00,1.00,2.00,9.00,3.00,1.00,288.00,99.00,1273.00,1417.00
34.00,2.00,2.00,10.00,2.00,1.00,280.00,99.00,1298.00,1438.00
